Disposal,Year,Estimated_fate,Extrapolate,predicted
Discarded,1980,100,,FALSE
Discarded,1981,98.3,,FALSE
Discarded,1982,97.6,,FALSE
Discarded,1983,96.9,,FALSE
Discarded,1984,96.2,,FALSE
Discarded,1985,95.5,,FALSE
Discarded,1986,94.8,,FALSE
Discarded,1987,94.1,,FALSE
Discarded,1988,92.8,,FALSE
Discarded,1989,91.4,,FALSE
Discarded,1990,90,,FALSE
Discarded,1991,88.6,,FALSE
Discarded,1992,87.2,,FALSE
Discarded,1993,85.8,,FALSE
Discarded,1994,84.4,,FALSE
Discarded,1995,83,,FALSE
Discarded,1996,81.6,,FALSE
Discarded,1997,80.2,,FALSE
Discarded,1998,78.8,,FALSE
Discarded,1999,77.4,,FALSE
Discarded,2000,76,,FALSE
Discarded,2001,74.6,,FALSE
Discarded,2002,73.2,,FALSE
Discarded,2003,71.8,,FALSE
Discarded,2004,70.4,,FALSE
Discarded,2005,69,,FALSE
Discarded,2006,67.6,,FALSE
Discarded,2007,66.2,,FALSE
Discarded,2008,64.8,,FALSE
Discarded,2009,63.4,,FALSE
Discarded,2010,62,,FALSE
Discarded,2011,60.6,,FALSE
Discarded,2012,59.2,,FALSE
Discarded,2013,57.8,,FALSE
Discarded,2014,56.4,,FALSE
Discarded,2015,55,,FALSE
Discarded,2016,,53.6,TRUE
Discarded,2017,,52.2,TRUE
Discarded,2018,,50.8,TRUE
Discarded,2019,,49.4,TRUE
Discarded,2020,,48,TRUE
Discarded,2021,,46.6,TRUE
Discarded,2022,,45.2,TRUE
Discarded,2023,,43.8,TRUE
Discarded,2024,,42.4,TRUE
Discarded,2025,,41,TRUE
Discarded,2026,,39.6,TRUE
Discarded,2027,,38.2,TRUE
Discarded,2028,,36.8,TRUE
Discarded,2029,,35.4,TRUE
Discarded,2030,,34,TRUE
Discarded,2031,,32.6,TRUE
Discarded,2032,,31.2,TRUE
Discarded,2033,,29.8,TRUE
Discarded,2034,,28.4,TRUE
Discarded,2035,,27,TRUE
Discarded,2036,,25.6,TRUE
Discarded,2037,,24.2,TRUE
Discarded,2038,,22.8,TRUE
Discarded,2039,,21.4,TRUE
Discarded,2040,,20,TRUE
Discarded,2041,,18.6,TRUE
Discarded,2042,,17.2,TRUE
Discarded,2043,,15.8,TRUE
Discarded,2044,,14.4,TRUE
Discarded,2045,,13,TRUE
Discarded,2046,,11.6,TRUE
Discarded,2047,,10.2,TRUE
Discarded,2048,,8.8,TRUE
Discarded,2049,,7.4,TRUE
Discarded,2050,,6,TRUE
Incinerated,1980,0,,FALSE
Incinerated,1981,1.7,,FALSE
Incinerated,1982,2.4,,FALSE
Incinerated,1983,3.1,,FALSE
Incinerated,1984,3.8,,FALSE
Incinerated,1985,4.5,,FALSE
Incinerated,1986,5.2,,FALSE
Incinerated,1987,5.9,,FALSE
Incinerated,1988,6.6,,FALSE
Incinerated,1989,7.3,,FALSE
Incinerated,1990,8,,FALSE
Incinerated,1991,8.7,,FALSE
Incinerated,1992,9.4,,FALSE
Incinerated,1993,10.1,,FALSE
Incinerated,1994,10.8,,FALSE
Incinerated,1995,11.5,,FALSE
Incinerated,1996,12.2,,FALSE
Incinerated,1997,12.9,,FALSE
Incinerated,1998,13.6,,FALSE
Incinerated,1999,14.3,,FALSE
Incinerated,2000,15,,FALSE
Incinerated,2001,15.7,,FALSE
Incinerated,2002,16.4,,FALSE
Incinerated,2003,17.1,,FALSE
Incinerated,2004,17.8,,FALSE
Incinerated,2005,18.5,,FALSE
Incinerated,2006,19.2,,FALSE
Incinerated,2007,19.9,,FALSE
Incinerated,2008,20.6,,FALSE
Incinerated,2009,21.3,,FALSE
Incinerated,2010,22,,FALSE
Incinerated,2011,22.7,,FALSE
Incinerated,2012,23.4,,FALSE
Incinerated,2013,24.1,,FALSE
Incinerated,2014,24.8,,FALSE
Incinerated,2015,25.5,,FALSE
Incinerated,2016,,26.2,TRUE
Incinerated,2017,,26.9,TRUE
Incinerated,2018,,27.6,TRUE
Incinerated,2019,,28.3,TRUE
Incinerated,2020,,29,TRUE
Incinerated,2021,,29.7,TRUE
Incinerated,2022,,30.4,TRUE
Incinerated,2023,,31.1,TRUE
Incinerated,2024,,31.8,TRUE
Incinerated,2025,,32.5,TRUE
Incinerated,2026,,33.2,TRUE
Incinerated,2027,,33.9,TRUE
Incinerated,2028,,34.6,TRUE
Incinerated,2029,,35.3,TRUE
Incinerated,2030,,36,TRUE
Incinerated,2031,,36.7,TRUE
Incinerated,2032,,37.4,TRUE
Incinerated,2033,,38.1,TRUE
Incinerated,2034,,38.8,TRUE
Incinerated,2035,,39.5,TRUE
Incinerated,2036,,40.2,TRUE
Incinerated,2037,,40.9,TRUE
Incinerated,2038,,41.6,TRUE
Incinerated,2039,,42.3,TRUE
Incinerated,2040,,43,TRUE
Incinerated,2041,,43.7,TRUE
Incinerated,2042,,44.4,TRUE
Incinerated,2043,,45.1,TRUE
Incinerated,2044,,45.8,TRUE
Incinerated,2045,,46.5,TRUE
Incinerated,2046,,47.2,TRUE
Incinerated,2047,,47.9,TRUE
Incinerated,2048,,48.6,TRUE
Incinerated,2049,,49.3,TRUE
Incinerated,2050,,50,TRUE
Recycled,1980,0,,FALSE
Recycled,1981,0,,FALSE
Recycled,1982,0,,FALSE
Recycled,1983,0,,FALSE
Recycled,1984,0,,FALSE
Recycled,1985,0,,FALSE
Recycled,1986,0,,FALSE
Recycled,1987,0,,FALSE
Recycled,1988,0.6,,FALSE
Recycled,1989,1.3,,FALSE
Recycled,1990,2,,FALSE
Recycled,1991,2.7,,FALSE
Recycled,1992,3.4,,FALSE
Recycled,1993,4.1,,FALSE
Recycled,1994,4.8,,FALSE
Recycled,1995,5.5,,FALSE
Recycled,1996,6.2,,FALSE
Recycled,1997,6.9,,FALSE
Recycled,1998,7.6,,FALSE
Recycled,1999,8.3,,FALSE
Recycled,2000,9,,FALSE
Recycled,2001,9.7,,FALSE
Recycled,2002,10.4,,FALSE
Recycled,2003,11.1,,FALSE
Recycled,2004,11.8,,FALSE
Recycled,2005,12.5,,FALSE
Recycled,2006,13.2,,FALSE
Recycled,2007,13.9,,FALSE
Recycled,2008,14.6,,FALSE
Recycled,2009,15.3,,FALSE
Recycled,2010,16,,FALSE
Recycled,2011,16.7,,FALSE
Recycled,2012,17.4,,FALSE
Recycled,2013,18.1,,FALSE
Recycled,2014,18.8,,FALSE
Recycled,2015,19.5,,FALSE
Recycled,2016,,20.2,TRUE
Recycled,2017,,20.9,TRUE
Recycled,2018,,21.6,TRUE
Recycled,2019,,22.3,TRUE
Recycled,2020,,23,TRUE
Recycled,2021,,23.7,TRUE
Recycled,2022,,24.4,TRUE
Recycled,2023,,25.1,TRUE
Recycled,2024,,25.8,TRUE
Recycled,2025,,26.5,TRUE
Recycled,2026,,27.2,TRUE
Recycled,2027,,27.9,TRUE
Recycled,2028,,28.6,TRUE
Recycled,2029,,29.3,TRUE
Recycled,2030,,30,TRUE
Recycled,2031,,30.7,TRUE
Recycled,2032,,31.4,TRUE
Recycled,2033,,32.1,TRUE
Recycled,2034,,32.8,TRUE
Recycled,2035,,33.5,TRUE
Recycled,2036,,34.2,TRUE
Recycled,2037,,34.9,TRUE
Recycled,2038,,35.6,TRUE
Recycled,2039,,36.3,TRUE
Recycled,2040,,37,TRUE
Recycled,2041,,37.7,TRUE
Recycled,2042,,38.4,TRUE
Recycled,2043,,39.1,TRUE
Recycled,2044,,39.8,TRUE
Recycled,2045,,40.5,TRUE
Recycled,2046,,41.2,TRUE
Recycled,2047,,41.9,TRUE
Recycled,2048,,42.6,TRUE
Recycled,2049,,43.3,TRUE
Recycled,2050,,44,TRUE
